DepartmentNumber-Numéro-de-Ministère,Fiscal-Year-Année-Fiscale,Payments-Total-Volume-Volume-total-de-paiements,LVTS-Total-Volume-Volume-total-de-STPGV,DD-Total-Volume-Volume-total-de-DD,EDI-Total-Volume-Volume-total-de-ÉDI,Cheques-Total-Volume-Volume-total-de-chèques,Wire-Total-Volume-Volume-total-de-virements,Payments-Total-Amount-Montant-total-de-paiements,LVTS-Total-Amount-Montant-total-de-STPGV,DD-Total-Amount-Montant-total-de-DD,EDI-Total-Amount-Montant-total-de-ÉDI,Cheques-Total-Amount-Montant-total-de-chèques,Redeemed-LVTS-Volume-Volume-de-STPGV-encaissés,Redeemed-DD-Volume-Volume-de-DD-encaissés,Redeemed-EDI-Volume-Volume-de-ÉDI-encaissés,Redeemed-Cheques-Volume-Volume-de-chèques-encaissés,Redeemed-Wire-Volume-Volume-de-virements-encaissés,Redeemed_Total_Vol_AllMethods,Success_Ratio_Overall,Avg_Payment_Size,Share_LVTS_Volume,Share_DD_Volume,Share_EDI_Volume,Share_Cheques_Volume,Share_Wire_Volume
1,2020-2021,105553,8,96852,729,7559,405,2368523249.86,436641555.2,957743514.95,808189318.6500001,152109474.45,6,96429,729,7437,389,104990,0.9946661866550454,22439.184578931912,7.579130863168266e-05,0.9175674779494661,0.0069064829990620824,0.07161331274336115,0.0038369349994789347
2,2020-2021,2834,0,2600,0,217,17,17197309.3,0.0,15907851.88,0.0,1089678.57,0,2568,0,211,17,2796,0.9865913902611151,6068.210762173607,0.0,0.9174311926605505,0.0,0.07657021877205364,0.005998588567395907
4,2020-2021,1710,0,1569,0,135,6,7865065.0,0.0,7191842.61,0.0,617871.88,0,1530,0,127,6,1663,0.9725146198830409,4599.453216374269,0.0,0.9175438596491228,0.0,0.07894736842105263,0.0035087719298245615
5,2020-2021,106551,188,90716,1451,2321,11875,18747440663.95,13356212661.319998,2175035786.37,19357190.04,20728881.99,176,89606,1451,2215,11420,104868,0.9842047470225526,175948.04989113196,0.0017644132856566338,0.851385721391634,0.013617891901530722,0.02178299593621834,0.11144897748496026
6,2020-2021,4274,2749,1239,190,88,8,281662617080.25,281570077683.1,31717241.42,8538739.08,1781148.6500000001,2741,1121,190,71,8,4131,0.9665418811417875,65901407.833469816,0.6431913897987833,0.28989237248479177,0.04445484323818437,0.020589611605053813,0.0018717828731867104
7,2020-2021,30771,3,28159,258,1923,428,781429561.37,103462763.4,534876451.18,32134847.92,55329965.6,1,27943,258,1890,382,30474,0.9903480549868383,25395.00053199441,9.749439407234084e-05,0.9151148808943486,0.008384517890221313,0.06249390660037048,0.013909200220987293
8,2020-2021,760,0,699,0,55,6,5594903.54,0.0,5457605.0,0.0,99582.71,0,678,0,52,6,736,0.968421052631579,7361.715184210527,0.0,0.9197368421052632,0.0,0.07236842105263158,0.007894736842105263
9,2020-2021,4154,0,3707,0,442,5,26384049.189999998,0.0,23819723.58,0.0,2502721.98,0,3686,0,420,5,4111,0.9896485315358691,6351.480305729417,0.0,0.8923928743379875,0.0,0.10640346653827636,0.001203659123736158
11,2020-2021,3907,0,3499,0,373,35,38773249.46,0.0,34440957.17,0.0,2440050.66,0,3374,0,358,35,3767,0.9641668799590478,9924.04644484259,0.0,0.8955720501663681,0.0,0.0954696698233939,0.008958280010238035
12,2020-2021,8193,3,7859,0,331,0,698775791.52,156000000.0,538598777.04,0.0,4177014.48,1,7715,0,322,0,8038,0.9810814109605761,85289.36793848407,0.0003661662394727206,0.9592334920053704,0.0,0.04040034175515684,0.0
13,2020-2021,14677,0,12199,879,1538,61,846524417.35,0.0,502364152.95,288872671.54,54453995.77,0,12128,879,1377,47,14431,0.9832390815561763,57676.937885807725,0.0,0.831164406895142,0.05988962322000409,0.10478980718130408,0.004156162703549772
14,2020-2021,224711003,118,217396274,0,7314536,75,231617465668.23,50956732486.69,172882016682.66,0.0,7774502657.01,114,216465432,0,6999513,75,223465134,0.9944556831513942,1030.7348664552487,5.251189235268555e-07,0.9674482828951638,0.0,0.03255085822388502,3.337620276653743e-07
15,2020-2021,23640,0,19462,215,3963,0,158458638.01,0.0,109582535.31,33075928.060000002,15800174.64,0,19167,215,3263,0,22645,0.9579103214890017,6702.988071489001,0.0,0.8232656514382403,0.009094754653130288,0.16763959390862945,0.0
16,2020-2021,1154,0,1026,0,83,45,18118442.09,0.0,17423801.78,0.0,59800.979999999996,0,1006,0,82,41,1129,0.9783362218370883,15700.556403812825,0.0,0.8890814558058926,0.0,0.07192374350086655,0.0389948006932409
17,2020-2021,797,0,744,0,38,15,6634500.71,0.0,6198984.26,0.0,67440.55,0,726,0,34,15,775,0.972396486825596,8324.3421706399,0.0,0.9335006273525721,0.0,0.04767879548306148,0.018820577164366373
18,2020-2021,4828484,21,4711157,11883,81326,24097,21840985248.48,894417229.74,14405903319.96,2498395076.84,1266394006.3,17,4697569,11870,78826,23715,4811997,0.9965854707191739,4523.362870930089,4.34919117470411e-06,0.9757010689069281,0.0024610208918575687,0.01684296768923745,0.00499059332080214
19,2020-2021,10091,0,8142,156,1788,5,57438325.39,0.0,52928579.41,2086879.3,2389827.88,0,8064,156,1752,5,9977,0.988702804479239,5692.035020315132,0.0,0.8068575958775146,0.015459320186304628,0.17718759290456843,0.0004954910316123278
21,2020-2021,2131973,0,2006671,92,125175,35,4941246119.190001,0.0,3666565523.88,1028464880.38,243725150.44,0,1992923,92,121129,29,2114173,0.9916509261608848,2317.687005975217,0.0,0.9412272106635496,4.315251647183149e-05,0.05871322010175551,1.641671822297937e-05
22,2020-2021,26918,17,24165,111,2376,249,2267584817.33,1208412121.02,890135157.37,137403810.69,25726277.82,11,23920,111,2286,240,26568,0.986997548109072,84240.46427409169,0.0006315476632736458,0.8977264284122148,0.004123634742551453,0.0882680734081284,0.009250315773831636
23,2020-2021,12803,0,12470,0,329,4,500150715.21000004,0.0,495251979.02,0.0,4867823.3,0,12284,0,320,4,12608,0.9847691947199875,39065.1187385769,0.0,0.9739904709833632,0.0,0.02569710224166211,0.00031242677497461533
24,2020-2021,382,0,304,0,78,0,2621196.01,0.0,1939247.86,0.0,681948.15,0,292,0,66,0,358,0.93717277486911,6861.769659685863,0.0,0.7958115183246073,0.0,0.20418848167539266,0.0
